记录00,,,HEAD RECORD                    头记录,,,M
序号,         字   段   名,, 格 式,      注  释, 标 记,
1,RECORD ID             记录类型标识,,9(2),0,M,
2,MESSAGE TYPE            报文类型,,X(6),IFTMBF,M,
3,FILE DESCRIPTION          文件说明,,X(35),BOOKING,C,
4,FILE FUNCTION             文件功能,,X(2),2=增加  3=删除,M,
,,,,4=变更  9=原始,,
5,SENDER CODE            发送方代码,,X(13),,M,
6,RECEIV,,X(13),,M,
,ER CODE          接收方代码,,,,,
7,FILE CREATE TIME      文件建立时间,,9(12),CCYYMMDDHHMM,M,
8,MESSAGE_ID,,X(35),报文唯一标识,M,
记录02,,BOOKING                   订舱信息,,,M,
序号,         字   段   名,, 格式,      注  释, 标 记,
1,RECORD ID        记录类型标识,,9(2),,M,
2,BOOKING NO. ID     运编号,,X(20),一般为流水号,M,
3,B\L  NO.      提单号,,X(20),船公司的提单号,C,
4,DELIVERY TERM     交货条款,,X(9),CY-CY(pier-pier/port):30,M,
,,,,CY-CFS(pier/port-door): 29,,
,,,,CFS-CY(door-pier/port): 28,,
,,,,CFS-CFS(door-door): 27,,
5,BOOKING PARTY 订舱人说明,,X(70),放委托人代码,C,
6,ISSUE PARTY CODE   签单人代码,,X(13),即接受订舱的人的代码,M,
7,ISSUE PARTY         签单人说明,,X(35),,C,
8,APPLICANT            询价单位,,X(13),向船公司询价的单位代码,C,
9,FOB BK PARTY     国外订舱单位,,X(13),国外FOB货订舱单位的代码,C,
10,B/L TRANSHIP ID     转船标识,,X(1),Y/N,C,
11,BATCH ID            分批,,X(1),Y/N,C,
12,SHIPMENT DATE      装期,,9(8),CCYYMMDD,C,
13,EXPIRY DATE         效期,,9(8),CCYYMMDD,C,
14,QUOTATION NO.     运费协议号,,X(30),MAERSK为必选,C,
15,CHARGE TYPE       费率本代码,,X(1),,C,
16,S/C NO.             服务合同号,,X(15),PENAVICO为必选,C,
17,BOND NO.         ,,X(15),,C,
18,SLOT CHARTER ID  舱位互用标识,,X(1),,C,
20,SALES CODE 揽货人代码,,X(17),,M,
21,SALES NAME 揽货人名称,,X(35),,C,
22,SALES TYPE 揽货类型,,X(1),1:自揽货；2：船公司揽货,M,
23,LINE CODE 我司航线代码,,X(17),,C,
24,LINE CODE 我司航线名称,,X(35),,C,
24,Operator Code 操作员账号,,X(17),指focus系统内账号,C,
25,Operator Name 操作员姓名,,X(35),指focus系统内名称,C,
记录03,,B/L                     提单信息,,,C,
序号,字段名,,格式,注释,标记,
1,RECORD ID          记录类型标识,,9(2),3,M,
2,TYPE OF B/L FORM       提单类型   ,,X(4),ORI：BILL OF LADING,M,
,,,,EXP：WAYBILL,,
3,PLACE OF B/L ISSUE CODE,,X(5),,M/C,
,                   提单签发地代码,,,,,
4,PLACE OF B/L ISSUE    提单签发地,,X(35),,C/M,
